display_name,id,Tid,approval,scan
Satellite Communication Systems,https://openalex.org/T12042,T12042,,
Antenna Design and Analysis,https://openalex.org/T10069,T10069,,
Antenna Design and Optimization,https://openalex.org/T11946,T11946,,
Millimeter-Wave Propagation and Modeling,https://openalex.org/T10936,T10936,,
Network Security and Intrusion Detection,https://openalex.org/T10400,T10400,,
Cryptography and Data Security,https://openalex.org/T10237,T10237,,
GNSS positioning and interference,https://openalex.org/T10655,T10655,,
Inertial Sensor and Navigation,https://openalex.org/T11325,T11325,,
Indoor and Outdoor Localization Technologies,https://openalex.org/T10326,T10326,,
Satellite Image Processing and Photogrammetry,https://openalex.org/T12983,T12983,,
Remote-Sensing Image Classification,https://openalex.org/T10689,T10689,,
Remote Sensing and LiDAR Applications,https://openalex.org/T11164,T11164,,
Data Management and Algorithms,https://openalex.org/T11106,T11106,,
Wireless Sensor Networks and IoT,https://openalex.org/T13535,T13535,,
Security in Wireless Sensor Networks,https://openalex.org/T11498,T11498,,
Energy Efficient Wireless Sensor Networks,https://openalex.org/T10080,T10080,,
IoT and Edge/Fog Computing,https://openalex.org/T10273,T10273,,
Space exploration and regulation,https://openalex.org/T12717,T12717,,
European and International Law Studies,https://openalex.org/T13710,T13710,,
International Relations and Foreign Policy,https://openalex.org/T10053,T10053,,
Cybersecurity and Cyber Warfare Studies,https://openalex.org/T12221,T12221,,
Global Peace and Security Dynamics,https://openalex.org/T12752,T12752,,
Spacecraft Dynamics and Control,https://openalex.org/T11082,T11082,,
